iter	MAPE	Quantile:alpha=0.5
0	0.6159543707	0.5601182913
1	0.6108149268	0.5554424548
2	0.6060861139	0.5510912202
3	0.6010378674	0.5464631048
4	0.5961250812	0.5420615223
5	0.5916528325	0.5380407265
6	0.58698875	0.5338313165
7	0.582368369	0.5297003159
8	0.5775292702	0.5253459652
9	0.572683221	0.5209742511
10	0.5681024551	0.5168007452
11	0.5635919739	0.5127729922
12	0.5591094154	0.508762193
13	0.5545422041	0.5048469743
14	0.5508884254	0.5014469012
15	0.5460782087	0.4971781296
16	0.541696832	0.4931307444
17	0.5380135624	0.4896808694
18	0.5345584561	0.4866154744
19	0.5304219172	0.4827640899
20	0.5261461407	0.4788165177
21	0.5221904886	0.4753208476
22	0.5184153479	0.4720593621
23	0.5143289734	0.4683555002
24	0.5103695742	0.4648141621
25	0.5063810267	0.4611933181
26	0.5026529508	0.4579306199
27	0.4987852018	0.4543748407
28	0.4952054362	0.4512976957
29	0.4914192806	0.4479626351
30	0.4874502756	0.4445883284
31	0.4838653151	0.4413967159
32	0.4805569826	0.438339047
33	0.4767293308	0.4349235562
34	0.4731568268	0.4318143306
35	0.4694803721	0.4285596303
36	0.4663706737	0.4258956398
37	0.463189207	0.4232341598
38	0.45954985	0.4198982651
39	0.4561648893	0.4170841797
40	0.4528622025	0.4141921871
41	0.4494295271	0.4110886333
42	0.4463877213	0.4083250723
43	0.4435353221	0.4058485213
44	0.4402137005	0.4030949018
45	0.4369328052	0.4002623579
46	0.4338502319	0.3974461006
47	0.4308249289	0.3948100374
48	0.4277525059	0.3920413459
49	0.4249778133	0.3896020917
50	0.4220043684	0.3871880216
51	0.4190394416	0.3847702786
52	0.4161826757	0.3823561253
53	0.4130813614	0.3796361261
54	0.4103541519	0.377272066
55	0.4072845755	0.3744646214
56	0.4042307393	0.3719474659
57	0.4015683072	0.3695852204
58	0.3988465147	0.3671527947
59	0.3961702128	0.3649333981
60	0.3933973995	0.3625570693
61	0.3907327009	0.3600700119
62	0.3884209263	0.3581314716
63	0.3860135023	0.3561590848
64	0.3833861193	0.3538279185
65	0.3806100669	0.3513318585
66	0.3781609121	0.3493144644
67	0.3757565434	0.3471893199
68	0.3733128042	0.3450036428
69	0.3706186852	0.3427447323
70	0.3684033781	0.340698481
71	0.3660202427	0.338673794
72	0.3638856566	0.3367258217
73	0.361427796	0.3346691431
74	0.3589642929	0.3324859918
75	0.3567928791	0.3306712417
76	0.3545258007	0.3285933205
77	0.3524291602	0.3268090187
78	0.3502640613	0.3249015828
79	0.3478503714	0.3229810092
80	0.345599914	0.3210291434
81	0.343349792	0.3191405939
82	0.3409928254	0.3171349738
83	0.3386980835	0.315116703
84	0.3364798231	0.3132020721
85	0.3342752614	0.3113625236
86	0.3318496554	0.3093377322
87	0.3298601312	0.3075502991
88	0.327714103	0.3057690768
89	0.3254593703	0.3038686924
90	0.3233332931	0.3019401287
91	0.3217127723	0.3005025631
92	0.3196929679	0.2988838403
93	0.3177861441	0.2972466014
94	0.3157431992	0.2956130774
95	0.3140949202	0.2941366031
96	0.3124888924	0.2927559657
97	0.3107356729	0.2913255494
98	0.3087285185	0.2896981096
99	0.3070546353	0.2881952197
100	0.3054980754	0.2869605516
101	0.3037556641	0.2855435515
102	0.302323206	0.2843085293
103	0.3007225045	0.2830173696
104	0.2992916357	0.2817074557
105	0.2978105535	0.2804183469
106	0.2960965912	0.2788921173
107	0.2944568657	0.2775172296
108	0.2928238116	0.2760826364
109	0.291168321	0.2747390233
110	0.2895547372	0.273443293
111	0.2882820138	0.272422437
112	0.2865857913	0.2708798646
113	0.2851715217	0.2695818179
114	0.2838651781	0.2683546141
115	0.2821525907	0.2669460339
116	0.2805990997	0.2655441608
117	0.2791444323	0.2643300127
118	0.2776958521	0.2631043364
119	0.2759610398	0.2616543328
120	0.2750869739	0.2608656391
121	0.2738223559	0.2598051189
122	0.2723495322	0.2584846914
123	0.2709615316	0.2574078044
124	0.2695968196	0.2561622857
125	0.2681911376	0.2549945889
126	0.2668382428	0.2538764141
127	0.2654823926	0.2526212394
128	0.2641123271	0.2515073488
129	0.2627368645	0.2503137502
130	0.2616022148	0.2492409949
131	0.2603642957	0.2482717777
132	0.2589311723	0.2471386974
133	0.2576462273	0.2459346326
134	0.2562353037	0.2447502511
135	0.2554357838	0.2441495651
136	0.254058141	0.2429761599
137	0.2527440978	0.2419388482
138	0.2513397144	0.2408258313
139	0.2499666745	0.2397394157
140	0.2488110411	0.2386445663
141	0.2474991742	0.2376355997
142	0.2463653357	0.2366473526
143	0.2452127356	0.2357771457
144	0.2441340762	0.2349008446
145	0.2433308319	0.2340536548
146	0.2421153871	0.2330970735
147	0.2410889437	0.2322857844
148	0.2400412866	0.2313223217
149	0.2387682022	0.2303420396
150	0.2374904678	0.2293260107
151	0.2363408524	0.2283982434
152	0.2352159994	0.227379702
153	0.2344942107	0.2265812633
154	0.2334731429	0.2256683777
155	0.2323235316	0.2247099418
156	0.2314057045	0.2238557745
157	0.2305947202	0.2230322012
158	0.2295190641	0.2220511005
159	0.2284755211	0.2211963339
160	0.2275128099	0.2203616671
161	0.2264819111	0.2194197398
162	0.2257136816	0.2186452082
163	0.2248885946	0.2178089309
164	0.2237094832	0.2168026762
165	0.2226954212	0.2159630623
166	0.2215627943	0.2149760448
167	0.2205518558	0.2141819388
168	0.2195492759	0.2132934015
169	0.2187961575	0.212585569
170	0.2179192867	0.2118330596
171	0.2168708538	0.2109399116
172	0.2162096788	0.2102974298
173	0.2152982976	0.2095455577
174	0.2144068931	0.20885364
175	0.2134285388	0.2081387431
176	0.2126366505	0.2074401344
177	0.2117657848	0.2067206464
178	0.2109410244	0.2060070365
179	0.2102699775	0.205479402
180	0.2093084703	0.2047458754
181	0.20846193	0.2040394536
182	0.2077547766	0.2033743132
183	0.2069270165	0.2026023083
184	0.2062593265	0.2020059426
185	0.2057306981	0.2014746224
186	0.2048673217	0.2006763961
187	0.2040854149	0.2000576742
188	0.2034601058	0.1995396767
189	0.2027747065	0.1989923858
190	0.2020664734	0.1984096558
191	0.2012268621	0.1977238034
192	0.2004214461	0.1971107374
193	0.1997807241	0.1964923725
194	0.1992757041	0.1959428531
195	0.1987191037	0.1954727301
196	0.1981310135	0.1948273574
197	0.1975849592	0.1943194333
198	0.1967703754	0.1936952764
199	0.1960883038	0.1930752627
200	0.1955635034	0.1925198244
201	0.1948549678	0.1919040997
202	0.1943223628	0.1913701305
203	0.1936772412	0.1908293099
204	0.1929930423	0.190275294
205	0.1924104855	0.1897344135
206	0.1916439512	0.1890794076
207	0.1910682578	0.1885142104
208	0.1905943414	0.1880847078
209	0.1899588236	0.1875032432
210	0.1891839678	0.1868069792
211	0.1886204303	0.1863764706
212	0.1881445654	0.1859458915
213	0.1876136277	0.185448261
214	0.1867855543	0.1847431382
215	0.1863223161	0.1843007096
216	0.1858315319	0.1838194348
217	0.1853615986	0.1833178511
218	0.1848954561	0.1828236513
219	0.1845038902	0.1824340209
220	0.1837168122	0.1818254035
221	0.1833137095	0.1813486947
222	0.1828548313	0.1809208934
223	0.1824614137	0.1804393611
224	0.181804486	0.1798835371
225	0.181221395	0.1792878221
226	0.1806732339	0.1788020173
227	0.1801033198	0.1782835512
228	0.1795048044	0.1778067231
229	0.178920855	0.1772702425
230	0.1784125859	0.1768076597
231	0.1779373538	0.176353863
232	0.1775575131	0.1758946988
233	0.1770308029	0.1754835709
234	0.1766005509	0.1751017074
235	0.1761560962	0.1746629557
236	0.1756122646	0.1741982128
237	0.1750568107	0.1737323519
238	0.1746271611	0.1733431624
239	0.1741389288	0.1728564277
240	0.1736416474	0.1724684188
241	0.1731365772	0.1720378381
242	0.1725374682	0.1715194543
243	0.1720916302	0.1711410472
244	0.1716944755	0.1707503758
245	0.1710973344	0.1703159257
246	0.1706441455	0.1699281547
247	0.1702743255	0.1695004386
248	0.1699917943	0.1691869569
